Most Popular Algorithms/Carriers out of 40k Unique DX7 Presets

ALGO|CARRIERS|count
5|1,3,5|4676
18|1|4193
2|1,3|3592
16|1|2866
3|1,4|2654
17|1|1984
9|1,3|1840
4|1,4|1718
15|1,3|1710
22|1,3,4,5|1326
6|1,3,5|1303
7|1,3|1189
1|1,3|1051
11|4,1|1007
8|1,3|1003
19|1,4,5|869
32|1,2,3,4,5,6|731
12|3,1|728
14|1,3|698
10|4,1|659
29|1,2,3,5|543
13|3,1|508
28|1,3,6|483
31|1,2,3,4,5|341
23|1,2,4,5|327
20|1,2,4|274
24|1,2,3,4,5|198
26|1,2,4|197
25|1,2,3,4,5|192
30|1,2,3,6|145
27|1,2,4|144
21|1,2,4,5|126

Most Popular Carriers: 
CARRIERS|count
1,3|11083
1|9043
1,3,5|5979
1,4|4372
4,1|1666
1,3,4,5|1326
3,1|1236
1,4,5|869
1,2,3,4,5|731
1,2,3,4,5,6|731
1,2,4|615
1,2,3,5|543
1,3,6|483
1,2,4,5|453
1,2,3,6|145

Most Used for Pads
ALGO    CARRIERS        COUNT
2       1,3             109
9       1,3             42
3       1,4             27
18      1               23
5       1,3,5           21
15      1,3             18
12      3,1             17
4       1,4             16
6       1,3,5           12
28      1,3,6           10
19      1,4,5           9
16      1               5
29      1,2,3,5         4
22      1,3,4,5         4
32      1,2,3,4,5,6     3
8       1,3             2
7       1,3             2
11      4,1             2
1       1,3             2
24      1,2,3,4,5       1
17      1               1


Most Used for Leads
ALGO    CARRIERS        COUNT
2       1,3             112
18      1               106
22      1,3,4,5         66
1       1,3             60
5       1,3,5           48
3       1,4             42
17      1               35
6       1,3,5           33
13      3,1             23
7       1,3             22
4       1,4             22
14      1,3             22
15      1,3             18
9       1,3             16
8       1,3             15
16      1               14
20      1,2,4           9
19      1,4,5           8
10      4,1             8
24      1,2,3,4,5       7
11      4,1             6
12      3,1             3
32      1,2,3,4,5,6     2
28      1,3,6           2
26      1,2,4           2
31      1,2,3,4,5       1
25      1,2,3,4,5       1


Most Used for Bass
ALGO    CARRIERS        COUNT
17      1               570
16      1               542
18      1               331
3       1,4             148
9       1,3             142
2       1,3             84
4       1,4             64
14      1,3             56
22      1,3,4,5         53
10      4,1             50
15      1,3             47
5       1,3,5           46
8       1,3             42
12      3,1             40
11      4,1             40
1       1,3             36
7       1,3             28
6       1,3,5           22
19      1,4,5           14
29      1,2,3,5         12
28      1,3,6           10
24      1,2,3,4,5       9
23      1,2,4,5         8
31      1,2,3,4,5       7
21      1,2,4,5         7
13      3,1             6
20      1,2,4           4
32      1,2,3,4,5,6     3
27      1,2,4           2
25      1,2,3,4,5       2


Most Used for Kind
ALGO    CARRIERS        COUNT
2       1,3             160
5       1,3,5           66
9       1,3             47
17      1               40
4       1,4             35
18      1               29
3       1,4             26
15      1,3             25
12      3,1             21
28      1,3,6           19
19      1,4,5           17
7       1,3             15
16      1               14
14      1,3             14
1       1,3             14
6       1,3,5           11
25      1,2,3,4,5       11
22      1,3,4,5         9
32      1,2,3,4,5,6     5
20      1,2,4           5
11      4,1             5
29      1,2,3,5         4
13      3,1             4
10      4,1             3
23      1,2,4,5         2
8       1,3             1
30      1,2,3,6         1
27      1,2,4           1
24      1,2,3,4,5       1
21      1,2,4,5         1


Most Used for Pianos
ALGO    CARRIERS        COUNT
5       1,3,5           815
3       1,4             352
4       1,4             239
11      4,1             217
16      1               198
9       1,3             150
18      1               143
19      1,4,5           111
6       1,3,5           94
13      3,1             74
10      4,1             73
12      3,1             71
17      1               57
8       1,3             49
7       1,3             46
28      1,3,6           42
15      1,3             40
1       1,3             40
22      1,3,4,5         38
2       1,3             19
30      1,2,3,6         16
20      1,2,4           15
26      1,2,4           14
31      1,2,3,4,5       11
14      1,3             11
29      1,2,3,5         8
23      1,2,4,5         7
24      1,2,3,4,5       6
32      1,2,3,4,5,6     5
27      1,2,4           1
21      1,2,4,5         1


Most Used for Synth
ALGO    CARRIERS        COUNT
2       1,3             395
18      1               346
3       1,4             269
22      1,3,4,5         251
5       1,3,5           241
9       1,3             215
17      1               167
16      1               125
15      1,3             120
19      1,4,5           85
6       1,3,5           84
7       1,3             81
4       1,4             75
8       1,3             69
1       1,3             59
14      1,3             58
13      3,1             39
28      1,3,6           38
12      3,1             37
11      4,1             34
20      1,2,4           27
24      1,2,3,4,5       23
23      1,2,4,5         22
25      1,2,3,4,5       19
10      4,1             19
32      1,2,3,4,5,6     16
29      1,2,3,5         15
21      1,2,4,5         11
31      1,2,3,4,5       10
26      1,2,4           10
27      1,2,4           8
30      1,2,3,6         5


Most Used for Bells
ALGO    CARRIERS        COUNT
5       1,3,5           369
6       1,3,5           46
9       1,3             34
27      1,2,4           32
23      1,2,4,5         32
15      1,3             28
7       1,3             27
22      1,3,4,5         25
19      1,4,5           24
4       1,4             23
8       1,3             22
18      1               22
32      1,2,3,4,5,6     21
3       1,4             21
11      4,1             19
12      3,1             17
13      3,1             15
31      1,2,3,4,5       14
25      1,2,3,4,5       12
2       1,3             12
26      1,2,4           11
1       1,3             11
29      1,2,3,5         10
17      1               10
10      4,1             9
20      1,2,4           7
14      1,3             7
16      1               6
28      1,3,6           5
30      1,2,3,6         4
24      1,2,3,4,5       3
21      1,2,4,5         2


Most Used for Pluck
ALGO    CARRIERS        COUNT
3       1,4             293
4       1,4             262
18      1               221
16      1               197
8       1,3             172
9       1,3             136
5       1,3,5           131
17      1               116
2       1,3             113
14      1,3             112
1       1,3             85
15      1,3             76
7       1,3             71
10      4,1             60
6       1,3,5           38
12      3,1             38
11      4,1             23
22      1,3,4,5         21
19      1,4,5           16
13      3,1             10
28      1,3,6           8
20      1,2,4           7
24      1,2,3,4,5       5
23      1,2,4,5         5
32      1,2,3,4,5,6     4
26      1,2,4           4
25      1,2,3,4,5       4
30      1,2,3,6         2
27      1,2,4           2
21      1,2,4,5         2
31      1,2,3,4,5       1
29      1,2,3,5         1


Most Used for Organ
ALGO    CARRIERS        COUNT
32      1,2,3,4,5,6     273
5       1,3,5           224
29      1,2,3,5         185
31      1,2,3,4,5       105
3       1,4             102
1       1,3             70
19      1,4,5           62
6       1,3,5           59
22      1,3,4,5         58
18      1               50
25      1,2,3,4,5       43
16      1               43
24      1,2,3,4,5       41
4       1,4             35
28      1,3,6           32
2       1,3             32
12      3,1             31
30      1,2,3,6         26
11      4,1             17
9       1,3             15
8       1,3             14
17      1               13
26      1,2,4           12
23      1,2,4,5         11
21      1,2,4,5         9
20      1,2,4           9
14      1,3             8
7       1,3             7
13      3,1             6
15      1,3             4
27      1,2,4           3
10      4,1             3


Most Used for Voice/Vox
ALGO    CARRIERS        COUNT
5       1,3,5           195
7       1,3             108
1       1,3             79
29      1,2,3,5         65
4       1,4             52
3       1,4             35
18      1               33
6       1,3,5           22
12      3,1             22
17      1               20
26      1,2,4           19
13      3,1             19
19      1,4,5           15
11      4,1             13
23      1,2,4,5         11
22      1,3,4,5         11
32      1,2,3,4,5,6     10
27      1,2,4           10
24      1,2,3,4,5       10
9       1,3             9
2       1,3             9
28      1,3,6           7
8       1,3             6
31      1,2,3,4,5       6
16      1               6
15      1,3             6
14      1,3             6
10      4,1             6
25      1,2,3,4,5       5
20      1,2,4           3
30      1,2,3,6         2
21      1,2,4,5         1


Most Used for Wind/Brass
ALGO    CARRIERS        COUNT
18      1               785
22      1,3,4,5         360
2       1,3             260
16      1               178
5       1,3,5           170
3       1,4             153
9       1,3             129
17      1               112
15      1,3             77
8       1,3             66
19      1,4,5           65
7       1,3             62
12      3,1             49
4       1,4             38
20      1,2,4           33
11      4,1             31
10      4,1             26
14      1,3             22
1       1,3             18
6       1,3,5           17
29      1,2,3,5         14
28      1,3,6           14
27      1,2,4           10
13      3,1             8
31      1,2,3,4,5       4
26      1,2,4           4
24      1,2,3,4,5       3
23      1,2,4,5         3
21      1,2,4,5         3
25      1,2,3,4,5       2
32      1,2,3,4,5,6     1
30      1,2,3,6         1


Most Used for Bowed
ALGO    CARRIERS        COUNT
2       1,3             764
15      1,3             405
18      1               104
5       1,3,5           82
16      1               80
17      1               78
9       1,3             53
3       1,4             38
11      4,1             38
22      1,3,4,5         22
1       1,3             22
4       1,4             21
6       1,3,5           20
12      3,1             13
8       1,3             12
14      1,3             11
19      1,4,5           9
7       1,3             8
25      1,2,3,4,5       7
13      3,1             7
28      1,3,6           6
32      1,2,3,4,5,6     4
10      4,1             4
20      1,2,4           3
30      1,2,3,6         2
29      1,2,3,5         2
24      1,2,3,4,5       2
31      1,2,3,4,5       1
26      1,2,4           1
23      1,2,4,5         1
21      1,2,4,5         1


Most Used for SFX
ALGO    CARRIERS        COUNT
18      1               18
16      1               9
2       1,3             7
11      4,1             7
1       1,3             7
28      1,3,6           5
22      1,3,4,5         5
31      1,2,3,4,5       4
19      1,4,5           4
5       1,3,5           3
29      1,2,3,5         3
21      1,2,4,5         3
17      1               3
12      3,1             3
8       1,3             2
6       1,3,5           2
27      1,2,4           2
20      1,2,4           2
7       1,3             1
4       1,4             1
30      1,2,3,6         1
26      1,2,4           1
24      1,2,3,4,5       1
23      1,2,4,5         1
15      1,3             1
14      1,3             1
13      3,1             1


Most Used for Synth Brand
ALGO    CARRIERS        COUNT
3       1,4             299
5       1,3,5           201
2       1,3             199
9       1,3             111
4       1,4             80
22      1,3,4,5         70
18      1               70
6       1,3,5           69
16      1               64
14      1,3             63
13      3,1             56
15      1,3             38
12      3,1             37
1       1,3             36
8       1,3             34
17      1               32
11      4,1             32
7       1,3             22
32      1,2,3,4,5,6     19
23      1,2,4,5         17
19      1,4,5           16
10      4,1             16
28      1,3,6           14
24      1,2,3,4,5       12
26      1,2,4           7
25      1,2,3,4,5       7
29      1,2,3,5         6
20      1,2,4           6
27      1,2,4           5
31      1,2,3,4,5       3
21      1,2,4,5         3


Most Used for Drum/Perc
ALGO    CARRIERS        COUNT
16      1               176
7       1,3             167
5       1,3,5           150
18      1               116
9       1,3             86
3       1,4             73
4       1,4             66
14      1,3             59
17      1               57
11      4,1             57
1       1,3             54
6       1,3,5           51
15      1,3             46
19      1,4,5           39
2       1,3             30
28      1,3,6           24
8       1,3             22
22      1,3,4,5         21
24      1,2,3,4,5       17
13      3,1             16
32      1,2,3,4,5,6     13
29      1,2,3,5         10
31      1,2,3,4,5       8
23      1,2,4,5         8
20      1,2,4           8
12      3,1             8
30      1,2,3,6         5
26      1,2,4           5
21      1,2,4,5         4
10      4,1             4
27      1,2,4           3
25      1,2,3,4,5       1






